title,subtitle,arg
말을잇지못하는,케장콘 1,1
크흑 감사합니다 SENSEI,케장콘 1,1
그러셨군요 가족분들도 알고 계신가요,케장콘 1,1
틀린말 안혔다잉 ㅅㄱ,케장콘 1,1
그럼 하지말자,케장콘 1,1
어쨌든 제 탓은 아닌듯함,케장콘 1,1
예 축하드리고요,케장콘 1,1
저언하아아 아무도 여쭙지 않았사옵니다,케장콘 1,1
당근빳다죠 쉬바,케장콘 1,1
오홍홍 조와용,케장콘 1,1
앗 아아,케장콘 1,1
대신귀여운알파카를드리겟습니다,케장콘 1,1
어쩌라고,케장콘 1,1
머임,케장콘 1,1
그건 또 뭔 야 너 문과지,케장콘 1,1
워메 오져따잉,케장콘 1,1
넹 기분굿,케장콘 1,1
머쓱,케장콘 1,1
허미,케장콘 1,1
내,케장콘 1,1
띠요오오오오오오 오오오옹ㅇㅇㅇㅇㅇ (띠용),케장콘 1,1
끼요오오옷ㅅㅅ,케장콘 1,1
아 너무 무섭다,케장콘 1,1
잘 몰르겠고 ㅎ ㅎㅎ,케장콘 1,1
그걸 믿었음 째트킥,케장콘 2,2
호다다다닥,케장콘 2,2
나는 이 대화 자체를 못 따라가겠어,케장콘 2,2
실화아닐걸 맞아 역시 실화일리가 없지,케장콘 2,2
으흐어어어어엉 으으윽 흑흑,케장콘 2,2
그런 유익한걸 감상할 시간따윈 없어,케장콘 2,2
이게 말이야 기린이야,케장콘 2,2
ㅋㅋㅋㅋ좋다 지금간다 기다려라,케장콘 2,2
생각해보니까 진짜 그러네,케장콘 2,2
아 싫어요 가요 쫌,케장콘 2,2
아 안사요,케장콘 2,2
있었는데요,케장콘 2,2
없었습니다,케장콘 2,2
저바 또또또또ㄸ또또 한마디를 안질려고 아주,케장콘 2,2
엥 알고잇섯다구예,케장콘 2,2
두뇌 3000 가동중,케장콘 2,2
와 정말 알고싶던 내용이었어요 감사합니다,케장콘 2,2
으따 마 행님요 이거 상이라도 드려야 쓰겠구마,케장콘 2,2
짜식이말여 잘못해서 않해서 어,케장콘 2,2
음 들을 가치가 있는 내용이었다,케장콘 2,2
저건 진짜 사람이 아니다 사이버 망령이지,케장콘 2,2
(놀라는 표정 있는거 후광처럼 생긴 그거),케장콘 2,2
크 고건 몰랏내,케장콘 2,2
모레는거냐,케장콘 2,2
별님달님 제발 인생을 날로먹을수 잇개 해주세요,케장콘 3,3
않갈켜줌 ㅅㄱ 니가아쉽지 내가아쉽냐?,케장콘 3,3
어멋 넘 귀엽다,케장콘 3,3
